ind,pop,taxon
BST-21-14-01,BST-21-14-,1
BST-21-14-03,BST-21-14-,3
BST-21-14-05,BST-21-14-,5
BST-21-14-07,BST-21-14-,7
BST-21-14-08,BST-21-14-,8
BST-21-14-09,BST-21-14-,9
BST-21-14-100,BST-21-14-1,0
BST-21-14-101,BST-21-14-1,1
BST-21-14-102,BST-21-14-1,2
BST-21-14-103,BST-21-14-1,3
BST-21-14-105,BST-21-14-1,5
BST-21-14-106,BST-21-14-1,6
BST-21-14-107,BST-21-14-1,7
BST-21-14-108,BST-21-14-1,8
BST-21-14-109,BST-21-14-1,9
BST-21-14-10,BST-21-14-,0
BST-21-14-111,BST-21-14-1,1
BST-21-14-112,BST-21-14-1,2
BST-21-14-113,BST-21-14-1,3
BST-21-14-114,BST-21-14-1,4
BST-21-14-115,BST-21-14-1,5
BST-21-14-116,BST-21-14-1,6
BST-21-14-117,BST-21-14-1,7
BST-21-14-118,BST-21-14-1,8
BST-21-14-120,BST-21-14-1,0
BST-21-14-122,BST-21-14-1,2
BST-21-14-123,BST-21-14-1,3
BST-21-14-126,BST-21-14-1,6
BST-21-14-127,BST-21-14-1,7
BST-21-14-128,BST-21-14-1,8
BST-21-14-129,BST-21-14-1,9
BST-21-14-12,BST-21-14-,2
BST-21-14-130,BST-21-14-1,0
BST-21-14-131,BST-21-14-1,1
BST-21-14-132,BST-21-14-1,2
BST-21-14-134,BST-21-14-1,4
BST-21-14-135,BST-21-14-1,5
BST-21-14-136,BST-21-14-1,6
BST-21-14-139,BST-21-14-1,9
BST-21-14-13,BST-21-14-,3
BST-21-14-141,BST-21-14-1,1
BST-21-14-142,BST-21-14-1,2
BST-21-14-143,BST-21-14-1,3
BST-21-14-14,BST-21-14-,4
BST-21-14-15,BST-21-14-,5
BST-21-14-17,BST-21-14-,7
BST-21-14-19,BST-21-14-,9
BST-21-14-22,BST-21-14-,2
BST-21-14-24,BST-21-14-,4
BST-21-14-25,BST-21-14-,5
BST-21-14-26,BST-21-14-,6
BST-21-14-28,BST-21-14-,8
BST-21-14-31,BST-21-14-,1
BST-21-14-33,BST-21-14-,3
BST-21-14-36,BST-21-14-,6
BST-21-14-38,BST-21-14-,8
BST-21-14-40,BST-21-14-,0
BST-21-14-41,BST-21-14-,1
BST-21-14-42,BST-21-14-,2
BST-21-14-43a,BST-21-14-4,a
BST-21-14-43b,BST-21-14-4,b
BST-21-14-44,BST-21-14-,4
BST-21-14-45,BST-21-14-,5
BST-21-14-46,BST-21-14-,6
BST-21-14-47,BST-21-14-,7
BST-21-14-49,BST-21-14-,9
BST-21-14-50,BST-21-14-,0
BST-21-14-51,BST-21-14-,1
BST-21-14-52,BST-21-14-,2
BST-21-14-53,BST-21-14-,3
BST-21-14-54,BST-21-14-,4
BST-21-14-55,BST-21-14-,5
BST-21-14-56,BST-21-14-,6
BST-21-14-57,BST-21-14-,7
BST-21-14-58,BST-21-14-,8
BST-21-14-59,BST-21-14-,9
BST-21-14-62,BST-21-14-,2
BST-21-14-63,BST-21-14-,3
BST-21-14-64,BST-21-14-,4
BST-21-14-65,BST-21-14-,5
BST-21-14-66,BST-21-14-,6
BST-21-14-67,BST-21-14-,7
BST-21-14-68,BST-21-14-,8
BST-21-14-69,BST-21-14-,9
BST-21-14-70,BST-21-14-,0
BST-21-14-71,BST-21-14-,1
BST-21-14-72,BST-21-14-,2
BST-21-14-73,BST-21-14-,3
BST-21-14-75,BST-21-14-,5
BST-21-14-76,BST-21-14-,6
BST-21-14-77,BST-21-14-,7
BST-21-14-78,BST-21-14-,8
BST-21-14-81,BST-21-14-,1
BST-21-14-82,BST-21-14-,2
BST-21-14-86,BST-21-14-,6
BST-21-14-87,BST-21-14-,7
BST-21-14-88,BST-21-14-,8
BST-21-14-89,BST-21-14-,9
BST-21-14-90,BST-21-14-,0
BST-21-14-91,BST-21-14-,1
BST-21-14-92,BST-21-14-,2
BST-21-14-93,BST-21-14-,3
BST-21-14-97,BST-21-14-,7
BST-21-14-98,BST-21-14-,8
BST-21-15-01,BST-21-15-,1
BST-21-15-02,BST-21-15-,2
BST-21-16-01,BST-21-16-,1
BST-21-16-02,BST-21-16-,2
BST-21-17-02,BST-21-17-,2
BST-21-17-03,BST-21-17-,3
BST-21-17-05,BST-21-17-,5
BST-21-17-08,BST-21-17-,8
BST-21-17-13,BST-21-17-,3
BST-21-17-17,BST-21-17-,7
BST-21-17-18,BST-21-17-,8
BST-21-17-20,BST-21-17-,0
BST-21-17-21,BST-21-17-,1
BST-21-18-01,BST-21-18-,1
BST-21-22-01,BST-21-22-,1
BST-21-22-02,BST-21-22-,2
BST-21-24-02,BST-21-24-,2
BST-21-24-05,BST-21-24-,5
BST-21-24-06,BST-21-24-,6
BST-21-24-07,BST-21-24-,7
BST-21-24-08,BST-21-24-,8
BST-21-24-09,BST-21-24-,9
BST-21-24-12,BST-21-24-,2
BST-21-24-133,BST-21-24-1,3
BST-21-24-14,BST-21-24-,4
BST-21-24-16,BST-21-24-,6
BST-21-24-17,BST-21-24-,7
BST-21-24-18,BST-21-24-,8
BST-21-24-19,BST-21-24-,9
BST-21-24-21,BST-21-24-,1
BST-21-24-22,BST-21-24-,2
BST-21-24-23,BST-21-24-,3
BST-21-24-24,BST-21-24-,4
BST-21-24-25,BST-21-24-,5
BST-21-24-26,BST-21-24-,6
BST-21-24-27,BST-21-24-,7
BST-21-24-28,BST-21-24-,8
BST-21-24-30,BST-21-24-,0
BST-21-24-31,BST-21-24-,1
BST-21-28-01,BST-21-28-,1
BST-21-28-02,BST-21-28-,2
BST-21-28-03,BST-21-28-,3
BST-21-28-04,BST-21-28-,4
BST-21-28-05,BST-21-28-,5
BST-21-28-06,BST-21-28-,6
BST-21-28-07,BST-21-28-,7
BST-21-28-08,BST-21-28-,8
BST-21-28-09,BST-21-28-,9
BST-21-28-10,BST-21-28-,0
BST-21-28-13,BST-21-28-,3
BST-21-28-15,BST-21-28-,5
BST-21-28-16,BST-21-28-,6
BST-21-28-17,BST-21-28-,7
BST-21-28-18,BST-21-28-,8
BST-21-28-19,BST-21-28-,9
BST-21-28-20,BST-21-28-,0
BST-21-28-21,BST-21-28-,1
BST-21-28-22,BST-21-28-,2
BST-21-28-25,BST-21-28-,5
BST-21-30-03,BST-21-30-,3
BST-21-30-04,BST-21-30-,4
BST-21-30-05,BST-21-30-,5
BST-21-30-07,BST-21-30-,7
BST-21-30-10,BST-21-30-,0
BST-21-33-02,BST-21-33-,2
BST-21-33-04,BST-21-33-,4
BST-21-33-05,BST-21-33-,5
BST-21-33-06,BST-21-33-,6
BST-21-33-07,BST-21-33-,7
BST-21-33-08,BST-21-33-,8
BST-21-35-01,BST-21-35-,1
BST-21-35-03,BST-21-35-,3
BST-21-35-05,BST-21-35-,5
BST-21-35-06,BST-21-35-,6
BST-21-35-07,BST-21-35-,7
BST-21-35-12,BST-21-35-,2
BST-21-35-13,BST-21-35-,3
BST-21-36-01,BST-21-36-,1
BST-21-36-02,BST-21-36-,2
BST-21-36-03,BST-21-36-,3
BST-21-36-04,BST-21-36-,4
BST-21-38-02,BST-21-38-,2
BST-21-38-05,BST-21-38-,5
